Car Name,City,Price (PKR),Model Year,Mileage (km),Fuel Type,Engine CC,Transmission
Porsche Cayenne Platinum Edition,Karachi,31500000.0,2017,62013.0,Petrol,3600 cc,Automatic
Toyota Prado TX 2.7,Karachi,19200000.0,2016,111063.0,Petrol,2700 cc,Automatic
Honda Civic EXi Prosmatec,Karachi,1780000.0,2004,150000.0,Petrol,1500 cc,Automatic
KIA Sportage AWD,Karachi,7800000.0,2021,3230.0,Petrol,2000 cc,Automatic
Honda Civic Turbo 1.5 VTEC CVT,Karachi,5100000.0,2017,110383.0,Petrol,1500 cc,Automatic
Jeep Gladiator Rubicon,Karachi,25000000.0,2020,19382.0,Petrol,3604 cc,Automatic
Toyota Passo X L Package,Karachi,4400000.0,2021,21907.0,Petrol,1000 cc,Automatic
Toyota Raize G,Karachi,5800000.0,2020,58000.0,Petrol,1000 cc,Automatic
Hyundai Sonata 2.5,Karachi,9150000.0,2022,19752.0,Petrol,2500 cc,Automatic
Toyota Prado 2nd (J90) Generation TX Limited 2.7,Karachi,5500000.0,2002,127823.0,Petrol,2700 cc,Automatic
Honda Civic 1.8 i-VTEC CVT,Karachi,5300000.0,2020,77531.0,Petrol,1800 cc,Automatic
Mercedes Benz E Class 4th (W212) Generation E250,Karachi,10300000.0,2012,31597.0,Petrol,2100 cc,Automatic
Daihatsu Cuore CX Automatic,Karachi,1100000.0,2006,98657.0,Petrol,800 cc,Automatic
Toyota Aqua L,Karachi,3000000.0,2012,160032.0,Hybrid,1500 cc,Automatic
Suzuki Alto VXL AGS,Karachi,3150000.0,2024,15000.0,Petrol,660 cc,Automatic
Toyota Noah G,Karachi,5600000.0,2015,56802.0,Hybrid,1800 cc,Automatic
Honda City Aspire Prosmatec 1.3 i-VTEC,Karachi,2790000.0,2013,82000.0,Petrol,1300 cc,Automatic
KIA Sorento 2.4 FWD,Karachi,8700000.0,2022,12158.0,Petrol,2400 cc,Automatic
